iter	Passed	Remaining
572	17742	13221
573	17772	13190
574	17802	13158
575	17832	13126
576	17866	13097
577	17895	13065
578	17926	13034
579	17956	13003
580	17986	12971
581	18015	12939
582	18047	12908
583	18077	12877
584	18108	12845
585	18146	12820
586	18176	12788
587	18207	12757
588	18237	12726
589	18266	12693
590	18297	12662
591	18328	12631
592	18357	12599
593	18388	12568
594	18420	12538
595	18450	12506
596	18480	12475
597	18510	12443
598	18541	12412
599	18573	12382
600	18605	12351
601	18635	12320
602	18668	12290
603	18700	12260
604	18730	12229
605	18761	12197
606	18793	12167
607	18825	12137
608	18855	12105
609	18884	12073
610	18915	12042
611	18945	12011
612	18975	11979
613	19005	11948
614	19035	11916
615	19068	11886
616	19097	11854
617	19127	11823
618	19157	11791
619	19189	11761
620	19218	11729
621	19249	11698
622	19279	11666
623	19312	11636
624	19341	11604
625	19370	11572
626	19401	11541
627	19432	11511
628	19463	11480
629	19494	11448
630	19524	11417
631	19556	11387
632	19587	11356
633	19619	11326
634	19650	11294
635	19682	11264
636	19711	11232
637	19741	11201
638	19771	11170
639	19802	11138
640	19832	11107
641	19862	11075
642	19892	11044
643	19922	11013
644	19954	10982
645	19983	10950
646	20012	10918
647	20043	10887
648	20073	10856
649	20102	10824
650	20132	10792
651	20162	10761
652	20194	10731
653	20224	10699
654	20256	10669
655	20287	10638
656	20318	10607
657	20350	10577
658	20379	10545
659	20409	10514
660	20440	10483
661	20470	10451
662	20499	10420
663	20529	10388
664	20561	10358
665	20593	10327
666	20624	10296
667	20655	10265
668	20687	10235
669	20717	10204
670	20749	10173
671	20778	10141
672	20809	10111
673	20839	10079
674	20869	10048
675	20898	10016
676	20930	9985
677	20958	9953
678	20990	9923
679	21020	9891
680	21052	9861
681	21083	9830
682	21114	9799
683	21145	9769
684	21176	9738
685	21206	9706
686	21237	9676
687	21269	9645
688	21299	9614
689	21330	9583
690	21361	9552
691	21393	9521
692	21425	9491
693	21456	9460
694	21485	9428
695	21514	9397
696	21547	9366
697	21577	9335
698	21609	9305
699	21639	9274
700	21672	9243
701	21702	9212
702	21733	9181
703	21763	9150
704	21794	9119
705	21824	9088
706	21854	9056
707	21884	9025
708	21915	8994
709	21946	8964
710	21977	8933
711	22007	8902
712	22038	8871
713	22070	8840
714	22102	8810
715	22132	8778
716	22163	8747
717	22193	8716
718	22224	8685
719	22254	8654
720	22284	8623
721	22315	8592
722	22346	8561
723	22376	8530
724	22406	8498
725	22437	8468
726	22467	8436
727	22496	8405
728	22526	8374
729	22557	8343
730	22588	8312
731	22617	8280
732	22646	8249
733	22678	8218
734	22706	8186
735	22737	8155
736	22766	8124
737	22798	8093
738	22827	8062
739	22857	8030
740	22887	7999
741	22918	7968
742	22948	7937
743	22977	7906
744	23007	7874
745	23040	7845
746	23071	7813
747	23100	7782
748	23131	7751
749	23162	7720
750	23194	7690
751	23224	7659
752	23253	7627
